external_id,name,brand,description,category_id,price,currency,unit_size,serving_size,servings_per_container,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,ingredients,allergens,dietary_tags,upc
SKU001,Low-Sugar Protein Bar 1,FitLife,Premium health product with nutritional benefits,snacks,,USD,300g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500001
SKU002,Heart-Healthy Salmon 2,PureFish,Premium health product with nutritional benefits,protein,,USD,400g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500002
SKU003,Diabetic Soup Mix 3,DiabetCare,Premium health product with nutritional benefits,soups,,USD,200g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500003
SKU004,Keto Avocado Spread 4,KetoLife,Premium health product with nutritional benefits,condiments,,USD,300g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500004
SKU005,Organic Quinoa Bowl 5,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,400g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500005
SKU006,Low-Sugar Protein Bar 6,FitLife,Premium health product with nutritional benefits,snacks,,USD,200g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500006
SKU007,Heart-Healthy Salmon 7,PureFish,Premium health product with nutritional benefits,protein,,USD,300g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500007
SKU008,Diabetic Soup Mix 8,DiabetCare,Premium health product with nutritional benefits,soups,,USD,400g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500008
SKU009,Keto Avocado Spread 9,KetoLife,Premium health product with nutritional benefits,condiments,,USD,200g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500009
SKU010,Organic Quinoa Bowl 10,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,300g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500010
SKU011,Low-Sugar Protein Bar 11,FitLife,Premium health product with nutritional benefits,snacks,,USD,400g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500011
SKU012,Heart-Healthy Salmon 12,PureFish,Premium health product with nutritional benefits,protein,,USD,200g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500012
SKU013,Diabetic Soup Mix 13,DiabetCare,Premium health product with nutritional benefits,soups,,USD,300g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500013
SKU014,Keto Avocado Spread 14,KetoLife,Premium health product with nutritional benefits,condiments,,USD,400g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500014
SKU015,Organic Quinoa Bowl 15,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,200g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500015
SKU016,Low-Sugar Protein Bar 16,FitLife,Premium health product with nutritional benefits,snacks,,USD,300g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500016
SKU017,Heart-Healthy Salmon 17,PureFish,Premium health product with nutritional benefits,protein,,USD,400g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500017
SKU018,Diabetic Soup Mix 18,DiabetCare,Premium health product with nutritional benefits,soups,,USD,200g,1 serving,5,90,4.0,8.0,3.0,6.0,2.0,180,{organic ingredients},{none},diabetic-friendly|low-carb|high-fiber,1234500018
SKU019,Keto Avocado Spread 19,KetoLife,Premium health product with nutritional benefits,condiments,,USD,300g,1 serving,6,160,2.0,4.0,15.0,4.0,1.0,120,{organic ingredients},{none},keto|high-fat|low-carb,1234500019
SKU020,Organic Quinoa Bowl 20,HealthyCorp,Premium health product with nutritional benefits,grains,,USD,400g,1 serving,2,320,12.5,45.2,8.1,5.8,3.2,480,{organic ingredients},{none},organic|gluten-free|vegan,1234500020
SKU021,Low-Sugar Protein Bar 21,FitLife,Premium health product with nutritional benefits,snacks,,USD,200g,1 serving,3,180,15.0,12.0,7.0,8.0,2.0,95,{organic ingredients},{none},low-sugar|high-protein|keto,1234500021
SKU022,Heart-Healthy Salmon 22,PureFish,Premium health product with nutritional benefits,protein,,USD,300g,1 serving,4,220,25.0,0.0,12.0,0.0,0.0,95,{organic ingredients},{none},heart-healthy|omega-3|wild-caught,1234500022
